material_1,material_2,comparative,property,logical_form
paper,silver,More,fragile,"Material(A, paper) and Material(B, silver), so More(fragile(A), fragile(B))"
paper,ceramic,More,fragile,"Material(A, paper) and Material(B, ceramic), so More(fragile(A), fragile(B))"
paper,carbon,More,white or black,"Material(A, paper) and Material(B, carbon), so More(white or black(A), white or black(B))"
paper,sand,More,white or black,"Material(A, paper) and Material(B, sand), so More(white or black(A), white or black(B))"
paper,oil,More,white or black,"Material(A, paper) and Material(B, oil), so More(white or black(A), white or black(B))"
paper,metal,More,white or black,"Material(A, paper) and Material(B, metal), so More(white or black(A), white or black(B))"
paper,plastic,More,white or black,"Material(A, paper) and Material(B, plastic), so More(white or black(A), white or black(B))"
paper,sand,More,durable,"Material(A, paper) and Material(B, sand), so More(durable(A), durable(B))"
paper,clay,More,durable,"Material(A, paper) and Material(B, clay), so More(durable(A), durable(B))"
paper,ceramic or plastic,More,durable,"Material(A, paper) and Material(B, ceramic or plastic), so More(durable(A), durable(B))"
paper,silicon,More,durable,"Material(A, paper) and Material(B, silicon), so More(durable(A), durable(B))"
paper,plastic,More,lightweight,"Material(A, paper) and Material(B, plastic), so More(lightweight(A), lightweight(B))"
paper,metal,More,lightweight,"Material(A, paper) and Material(B, metal), so More(lightweight(A), lightweight(B))"
paper,iron,More,lightweight,"Material(A, paper) and Material(B, iron), so More(lightweight(A), lightweight(B))"
paper,gold,More,lightweight,"Material(A, paper) and Material(B, gold), so More(lightweight(A), lightweight(B))"
paper,steel,More,lightweight,"Material(A, paper) and Material(B, steel), so More(lightweight(A), lightweight(B))"
paper,rubber,More,lightweight,"Material(A, paper) and Material(B, rubber), so More(lightweight(A), lightweight(B))"
paper,cow blood,More,lightweight,"Material(A, paper) and Material(B, cow blood), so More(lightweight(A), lightweight(B))"
paper,sand,More,lightweight,"Material(A, paper) and Material(B, sand), so More(lightweight(A), lightweight(B))"
paper,aluminum,More,lightweight,"Material(A, paper) and Material(B, aluminum), so More(lightweight(A), lightweight(B))"
paper,leather,More,lightweight,"Material(A, paper) and Material(B, leather), so More(lightweight(A), lightweight(B))"
metal,plastic,More,hard,"Material(A, metal) and Material(B, plastic), so More(hard(A), hard(B))"
metal,sand,More,hard,"Material(A, metal) and Material(B, sand), so More(hard(A), hard(B))"
metal,glass,More,hard,"Material(A, metal) and Material(B, glass), so More(hard(A), hard(B))"
metal,water,More,hard,"Material(A, metal) and Material(B, water), so More(hard(A), hard(B))"
metal,lead,More,hard,"Material(A, metal) and Material(B, lead), so More(hard(A), hard(B))"
metal,rubber,More,hard,"Material(A, metal) and Material(B, rubber), so More(hard(A), hard(B))"
metal,sand,More,heavy,"Material(A, metal) and Material(B, sand), so More(heavy(A), heavy(B))"
metal,gold,More,heavy,"Material(A, metal) and Material(B, gold), so More(heavy(A), heavy(B))"
metal,plastic,More,heavy,"Material(A, metal) and Material(B, plastic), so More(heavy(A), heavy(B))"
metal,sugar,More,heavy,"Material(A, metal) and Material(B, sugar), so More(heavy(A), heavy(B))"
metal,rubber,More,heavy,"Material(A, metal) and Material(B, rubber), so More(heavy(A), heavy(B))"
metal,oil,More,heavy,"Material(A, metal) and Material(B, oil), so More(heavy(A), heavy(B))"
metal,carbon,More,heavy,"Material(A, metal) and Material(B, carbon), so More(heavy(A), heavy(B))"
metal,glass,More,opaque,"Material(A, metal) and Material(B, glass), so More(opaque(A), opaque(B))"
metal,plastic,More,opaque,"Material(A, metal) and Material(B, plastic), so More(opaque(A), opaque(B))"
metal,water,More,opaque,"Material(A, metal) and Material(B, water), so More(opaque(A), opaque(B))"
metal,ice,More,opaque,"Material(A, metal) and Material(B, ice), so More(opaque(A), opaque(B))"
metal,crystal,More,opaque,"Material(A, metal) and Material(B, crystal), so More(opaque(A), opaque(B))"
metal,plastic,More,rigid,"Material(A, metal) and Material(B, plastic), so More(rigid(A), rigid(B))"
metal,rubber,More,rigid,"Material(A, metal) and Material(B, rubber), so More(rigid(A), rigid(B))"
metal,sand,More,rigid,"Material(A, metal) and Material(B, sand), so More(rigid(A), rigid(B))"
metal,sugar,More,rigid,"Material(A, metal) and Material(B, sugar), so More(rigid(A), rigid(B))"
